Software Version,3.00.19,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\RW\Jan 2019\Proteomics\Day 7.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\RW_OD600.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,06/02/2019,,,,,,,,,,,,,
Time,11:21:40,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,1607191D,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  600,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,37.6,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.15,0.143,0.125,0.049,0.047,0.046,0.064,0.058,0.057,0.08,0.077,0.072,600
,B,0.064,0.142,0.214,0.064,0.077,0.064,0.063,0.051,0.058,0.097,0.117,0.092,600
,C,0.064,0.071,0.066,0.177,0.135,0.055,0.053,0.047,0.044,0.064,0.066,0.079,600
,D,0.106,0.132,0.122,0.111,0.116,0.143,0.141,0.103,0.095,0.107,0.079,0.137,600
,E,0.092,0.095,0.103,0.068,0.059,0.081,0.039,0.039,0.037,0.037,0.041,0.039,600
,F,0.05,0.047,0.047,0.092,0.112,0.092,0.037,0.037,0.038,0.039,0.039,0.039,600
,G,0.046,0.051,0.046,0.05,0.047,0.045,0.046,0.043,0.044,0.043,0.047,0.045,600
,H,0.045,0.055,0.056,0.055,0.054,0.057,0.056,0.054,0.055,0.058,0.056,0.057,600
