Gene,Name,Enzyme,Bp,F/C,PA,DBP,DEHP,ATBC
BDBJPGFE_00629,629,Toluene-4-sulfonate monooxygenase system iron-sulfur subunit TsaM1,1067,F,0,0,0,0
BDBJPGFE_00630,630,"Phthalate 4,5-dioxygenase oxygenase reductase subunit",968,F,0,0,0,0
BDBJPGFE_00631,631,Solute-binding protein,1022,F,9.850702862,53.02104991,10.28428792,38.10072821
BDBJPGFE_00632,632,"Protocatechuate 3,4-dioxygenase alpha chain",644,R,0,0,0,0
BDBJPGFE_00633,633,"Protocatechuate 3,4-dioxygenase beta chain",731,R,1.063030753,0.821868794,0.929564364,1.124221777
BDBJPGFE_00634,634,HTH-type transcriptional regulator GbpR,932,R,0,0,0,0
BDBJPGFE_00635,635,3-oxoadipate enol-lactonase 2,1169,R,0,0,0,0
BDBJPGFE_00636,636,Beta-ketoadipyl-CoA thiolase,1217,R,0,0,0,0
BDBJPGFE_00637,637,3-oxoadipate CoA-transferase subunit B,773,R,0,0,0,0
BDBJPGFE_00638,638,3-oxoadipate CoA-transferase subunit A,833,R,1.230106591,0.793539165,0.414220253,0.814214038
BDBJPGFE_00639,639,"3-carboxy-cis,cis-muconate cycloisomerase",1328,R,1.707505233,0.950230882,0.971089833,1.022865652
