Gene,Name,Enzyme,Bp,F/C,Present,Exo/cellular,PA,DBP,DEHP,ATBC,
BDBJPGFE_00629,629,vanA,1067,F,M,,,,,,1067
BDBJPGFE_00630,630,vanB,968,F,N,,,,,,2035
BDBJPGFE_00631,631,TRAP,1022,F,Y,Exo,3.300226667,5.728493333,3.36237,5.251746667,3057
BDBJPGFE_00632,632,pcaG,644,C,M,,,,,,3701
BDBJPGFE_00633,633,pcaH,731,C,Y,Cellular,0.088183333,-0.28302,-0.105373333,0.168926667,4432
BDBJPGFE_00634,634,pcaQ,932,C,N,,,,,,5364
BDBJPGFE_00635,635,pcaL,1169,C,M,,,,,,6533
BDBJPGFE_00636,636,pcaF,1217,C,Y,Both - exo shown,7.13003,2.40093333,3.87159333,4.54774667,7750
BDBJPGFE_00637,637,pcaJ,773,C,M,,,,,,8523
BDBJPGFE_00638,638,pcaI,833,C,Y,Both - exo shown,7.001686667,3.87133,2.440323333,4.538993333,9356
BDBJPGFE_00639,639,pcaB,1328,C,Y,Cellular,0.77189,-0.07365,-0.042323333,0.032616667,10684
,,,,,,,,,,,11184
BDBJPGFE_00645,645,pchA,1466,C,Y,Both - exo shown,9.05747333,7.67956,5.0697,5.90676333,12650
BDBJPGFE_00646,646,,1004,C,N,,,,,,13654
BDBJPGFE_00647,647,pchF,1550,C,Y,Both - exo shown,7.910658333,5.858683333,4.147246667,5.373806667,15204
,,,,,,,,,,,15704
BDBJPGFE_00654,654,mobA,1889,C,Y,Cellular,-0.205786667,-0.507176667,-1.498886667,-1.274533333,17593
